Source,Target,Type,Avg Date,Start Date,End Date,Transcription,Book Certainty,Date Certainty,Person Certainty
John Selden,Vespasian CXIII,Undirected,1638,1637,1639,John Selden,True,True,True
Lord William Howard,Nero DXI,Undirected,1638,1638,1638,"Sir William Howard, 1638 (123.1, 125.1, 175.1).",True,True,True
Lord William Howard|Nicholas Roscarrock,Otho DIX,Undirected,1611,1607,1616,"Lord William Howard and Nicholas Roscarrock, 1607 or later to 1612-16 (20.1, 74.4: this or Tib. E.I)",False,True,True
William Watts,Nero DI,Undirected,1640,,1640,"William Watts, by 1640 (see the preface to his edition of Matthew Paris, Historia major (London, 1640), for which the manu- script was used).",True,True,True
John Selden,Titus EIII,Undirected,1638,1637,1639,John Selden,True,True,True
Augustine Vincent,Cleopatra AVII,Undirected,1621,1621,1622,"Augustine Vincent, 1621-22 (2.107: ? this).",True,True,True
Richard St George,Cleopatra DIII,Undirected,1614,,1614,"Richard St George, by 1614 (15.3: this or Vit. E.XVI).",False,True,True
Edward Herbert,Galba EIV,Undirected,1623,1623,,"‘Mr Herbert of the Temple’ (ie. Edward Herbert), b in or after 1623 because no, 326 in 6018 was given to Cotton in that year (6018, no. 403)",True,True,True
John Selden,Claudius BVIII,Undirected,1641,1641,1641,John Selden,True,True,True
William Camden,Domitian XII,Undirected,1623,,1623,"William Camden, date unknown but before 1623 (143: fols 141-58y, art. 3, of this, Claud. A:VI, Otho A.XIV, C-VIIL, Vit. A.III, D.XII, E.VIII or Vesp. A-XIII).",False,True,True
Hart,Titus AI,Undirected,1617,,1617,Hart,False,True,True
Edward Herbert,Caligula DXI,Undirected,1636,1636,1636,"of part of this) Edward Herbert, 1636 (117.1 and 119.8)",True,True,True
unidentified borrower|James Ussher,Vitellius EXIV,Undirected,1621,1621,1621,"unknown, 1617 (7.1)",True,True,False
John Strype,Julius FVI,Undirected,1697,1697,1697,"John Strype, 1697 (BL, Lansdowne MS 814, fol. 25",True,True,True
Arthur Agarde,Otho AXVII,Undirected,1612,1612,1612,"Arthur Agarde, 1612 (77.13: this or Faust. B.II1)",False,True,True
Henry Howard,Titus CI,Undirected,1612,1611,1613,"Henry Howard, c.1612 (21.8, 52.3: ? this. According to loan 52.3 the original, from which the manuscript there being lent was copied, had been given to Howard)",True,True,True
William Camden,Caligula BX,Undirected,1614,1612,1616,William Camden,True,True,True
Francis Bacon,Nero AI,Undirected,1613,,1613,"? Francis Bacon, ? by 1613 (23.4: (2) this or (1) Jul. C.1D",False,False,False
John Bradshaw,Titus AVIII,Undirected,1617,1616,1618,"Bradshaw, c.1617 (8.1: this or Faust. A.IID",False,True,True
,Tiberius AXIV,Undirected,1616,1615,1617,Samuel Ward,False,True,True
,Tiberius AXIV,Undirected,1616,1615,1617,Patrick Young,False,True,True
John Selden,Julius BVIII,Undirected,unknown date,,,John Selden,True,True,True
John Selden,Faustina BIX,Undirected,1638,1637,1639,John Selden,True,True,True
Bulstrode Whitelocke,Galba CVIII,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
William Camden,Titus AXV,Undirected,1614,1612,1616,"William Camden, 1612-16 (75.10)",True,True,True
John Selden,Galba BXII,Undirected,1621,1621,1621,"John Selden, 1621 (2.87: ? distributed in Galba B.I-XI1)",True,True,True
Lord William Howard,Nero CIV,Undirected,1621,1621,1621,Lord William Howard,False,True,True
Peter Balle,Vespasian EXI,Undirected,1650,1650,1650,Peter Balle,True,True,True
